,,,,,
PREC 12,,,,,
MATH 125,,,,,
MATH 126,,,,,
COSC 111,,,,,
COSC 123,,,,,
,,,,,
COSC 111,,,,,
COSC 122,,,,,
APSC 177,,,,,
COSC 111,,,,,
COSC 121,,,,,
MATH 101,,,,,
MATH 142,,,,,
APSC 173,,,,,
COSC 121,,,,,
COSC 111,,,,,
COSC 122,,,,,
Third Year Standing,,,,,
MATH 200,MATH 221,COSC 111,,,
MATH 200,MATH 221,DATA 301,,,
COSC 111,Third Year Standing,,,,
COSC 123,Third Year Standing,,,,
COSC 210,Third Year Standing,,,,
,,,,,
COSC 210,Third Year Standing,,,,
COSC 222,Third Year Standing,,,,
COSC 221,COSC 222,,,,
COSC 221,COSC 222,MATH 221,,,
COSC 221,COSC 222,APSC 179,,,
COSC 221,COSC 222,,,,
COSC 221,COSC 222,,,,
COSC 222,PHYS 102,PHYS 102,,,
COSC 222,PHYS 121,,,,
COSC 222,PHYS 122,,,,
COSC 111,Third Year Standing,,,,
COSC 121,Third Year Standing,,,,
COSC 123,Third Year Standing,,,,
DATA 301,Third Year Standing,,,,
COSC 210,MATH 200,MATH 221,,,
COSC 210,MATH 200,APSC 179,,,
COSC 210,APSC 248,MATH 221,,,
COSC 210,APSC 248,APSC 179,,,
COSC 222,MATH 200,MATH 221,,,
COSC 222,MATH 200,APSC 179,,,
COSC 222,APSC 248,MATH 221,,,
COSC 222,APSC 248,APSC 179,,,
COSC 121,COSC 304,Third Year Standing,,,
COSC 304,Third Year Standing,,,,
COSC 111,Third Year Standing,,,,
APSC 177,Third Year Standing,,,,
COSC 221,COSC 222,MATH 221,,,
COSC 221,COSC 222,APSC 179,,,
STAT 230,,,,,
COSC 344,,,,,
COSC 304,COSC 310,COSC 341,,,
